ds,CA_HOBBIES_1_002,CA_HOBBIES_1_004,CA_HOBBIES_1_005,CA_HOBBIES_1_006,CA_HOBBIES_1_007,CA_HOBBIES_1_008,CA_HOBBIES_1_009,CA_HOBBIES_1_010,CA_HOBBIES_1_011,CA_HOBBIES_1_012,CA_HOBBIES_1_018,CA_HOBBIES_1_023,CA_HOBBIES_1_049,CA_HOBBIES_1_052,CA_HOBBIES_1_054,CA_HOBBIES_1_077,CA_HOBBIES_1_098,CA_HOBBIES_1_099,CA_HOBBIES_1_106,CA_HOBBIES_1_112
2013-01-06,6,85,33,39,4,0,32,20,1,18,1,35,3,1,1,15,22,32,5,11
2013-01-13,5,52,43,38,7,2,35,16,3,15,0,41,7,0,2,21,20,40,9,4
2013-01-20,8,85,24,32,9,0,44,19,3,11,0,35,13,1,0,10,29,32,7,6
2013-01-27,7,66,40,47,8,89,38,17,4,18,2,36,8,0,4,19,30,48,9,7
2013-02-03,7,88,34,47,4,251,30,14,5,13,0,30,13,1,3,13,28,37,4,4
2013-02-10,5,86,26,51,9,63,18,19,2,15,0,31,18,1,2,12,18,45,2,2
2013-02-17,8,52,8,46,3,234,24,23,3,9,0,36,15,0,2,19,29,45,0,5
2013-02-24,5,78,29,50,5,249,31,15,2,16,0,35,7,1,1,9,29,50,0,4
2013-03-03,7,83,38,60,9,192,28,13,5,24,0,41,17,1,0,24,24,54,0,5
2013-03-10,7,91,35,79,2,73,12,22,3,19,0,30,16,4,0,17,19,27,0,4
2013-03-17,5,83,32,35,3,184,18,16,4,12,0,39,8,0,0,22,31,54,0,5
2013-03-24,7,108,30,28,9,228,17,26,2,14,0,36,12,1,0,18,26,39,0,4
2013-03-31,7,74,27,21,8,20,18,17,1,16,0,36,11,1,0,14,26,42,0,7
2013-04-07,3,110,19,25,3,314,14,22,5,20,0,35,12,1,0,18,22,51,0,5
2013-04-14,4,97,18,34,6,239,44,19,9,17,0,27,13,0,0,13,25,57,0,6
2013-04-21,6,90,36,33,7,196,27,17,0,10,0,37,14,1,0,30,27,48,0,2
2013-04-28,5,61,28,23,5,233,26,19,6,14,0,42,9,3,0,16,27,39,0,1
2013-05-05,7,75,2,40,6,40,25,12,5,18,0,31,9,0,0,17,28,40,0,0
2013-05-12,4,96,3,29,6,303,12,14,1,18,0,37,16,2,0,19,17,21,0,1
2013-05-19,5,88,36,30,7,295,38,17,5,16,0,22,17,1,0,23,23,30,0,4
2013-05-26,10,91,31,29,4,313,31,15,5,13,0,33,9,0,0,16,21,29,0,7
2013-06-02,8,110,28,30,4,206,36,16,5,13,0,35,15,1,0,18,27,29,0,8
2013-06-09,9,81,17,17,4,298,23,24,6,13,0,38,14,1,0,19,26,46,0,6
2013-06-16,5,69,20,22,11,214,36,12,4,16,0,35,10,0,0,15,18,34,0,4
2013-06-23,11,86,21,45,6,277,36,20,1,9,0,41,16,2,0,19,29,42,0,2
2013-06-30,8,70,27,30,7,226,29,12,4,12,0,50,13,1,0,10,20,32,0,4
2013-07-07,9,25,26,32,5,285,42,15,2,11,0,46,12,1,0,10,16,37,0,2
2013-07-14,16,13,37,33,4,268,27,12,5,12,0,39,14,1,0,16,16,40,0,3
2013-07-21,5,65,33,40,8,216,42,23,3,13,0,38,12,1,0,20,27,35,0,5
2013-07-28,7,73,23,24,5,205,34,14,1,12,0,33,13,2,0,14,16,38,0,5
2013-08-04,6,96,22,39,7,198,29,15,3,13,0,41,10,1,0,14,28,45,0,2
2013-08-11,6,98,31,44,2,120,33,17,4,9,0,38,11,1,0,11,19,30,0,1
2013-08-18,8,95,32,22,4,162,54,14,3,17,0,44,7,0,4,15,29,42,0,5
2013-08-25,8,102,28,25,6,144,23,18,3,13,0,47,9,1,2,14,21,26,0,8
2013-09-01,5,92,34,34,5,115,35,14,0,18,0,31,7,0,0,11,20,29,0,1
2013-09-08,2,103,26,19,7,53,41,1,2,11,0,33,8,1,2,16,21,42,0,11
2013-09-15,9,79,27,24,11,247,39,8,5,10,0,14,9,1,3,16,14,47,0,6
2013-09-22,5,79,24,33,7,236,20,13,1,16,0,18,4,0,4,12,8,13,0,5
2013-09-29,4,79,33,31,4,195,41,15,5,12,0,22,6,0,0,13,0,3,0,4
2013-10-06,3,118,21,34,9,192,26,17,1,12,0,19,5,1,3,22,0,0,0,5
2013-10-13,7,96,33,22,11,207,22,8,0,16,0,16,8,0,2,17,1,1,0,5
2013-10-20,3,101,35,25,8,241,38,5,5,15,0,15,1,0,0,6,2,0,0,10
2013-10-27,6,102,24,25,8,225,48,18,0,16,0,15,0,0,4,0,1,1,0,8
2013-11-03,6,95,24,25,9,219,24,16,3,11,0,11,0,1,1,0,0,0,0,8
2013-11-10,4,89,23,29,8,226,34,12,4,13,0,15,0,1,3,0,0,1,0,5
2013-11-17,2,95,14,24,10,240,29,15,4,11,0,12,0,0,1,0,1,0,0,2
2013-11-24,3,100,21,18,9,224,54,14,2,12,0,10,0,0,4,0,0,1,0,1
2013-12-01,1,113,26,26,6,145,25,13,3,12,0,11,0,0,4,0,0,0,0,4
2013-12-08,7,113,23,26,11,232,34,15,3,8,0,9,0,1,4,0,0,2,0,6
2013-12-15,11,113,22,11,8,181,23,10,5,11,0,10,0,1,3,0,0,0,0,9
2013-12-22,20,84,38,25,8,203,38,15,5,11,0,10,0,0,7,0,1,0,0,3
2013-12-29,9,81,29,26,12,156,16,15,1,8,0,6,0,0,5,0,0,0,0,5
2014-01-05,1,118,15,19,8,171,36,24,6,11,0,10,1,0,3,0,1,1,0,7
2014-01-12,2,91,23,16,3,156,22,13,4,11,0,8,0,1,3,0,1,0,0,4
2014-01-19,3,93,23,15,9,206,26,18,2,13,0,11,0,1,5,0,0,1,0,3
2014-01-26,4,92,28,19,14,207,22,15,2,11,0,9,1,0,1,0,0,0,0,2
2014-02-02,2,110,26,20,10,186,31,20,2,9,0,13,0,0,1,0,0,0,0,4
2014-02-09,5,121,16,22,5,271,20,20,3,8,0,6,1,0,3,0,0,0,0,10
2014-02-16,4,91,23,17,8,223,14,18,0,11,0,11,0,0,2,0,0,1,0,3
2014-02-23,4,114,24,24,8,166,25,28,0,13,3,5,0,0,2,0,0,0,0,9
2014-03-02,3,79,17,33,7,204,15,21,1,14,3,12,0,1,2,0,1,0,0,1
2014-03-09,2,126,22,5,5,177,21,20,3,5,5,8,0,0,3,0,0,0,0,5
2014-03-16,1,105,14,3,9,161,18,20,1,11,1,17,0,0,3,0,0,0,0,8
2014-03-23,2,97,10,13,9,213,19,20,2,9,3,14,0,0,6,0,0,0,0,0
2014-03-30,4,104,16,34,7,187,34,21,0,8,0,3,0,1,1,0,0,1,0,0
2014-04-06,4,106,24,25,3,188,23,25,3,10,4,0,0,0,3,0,0,0,0,0
2014-04-13,1,111,15,12,7,231,30,25,8,11,4,0,2,0,2,0,0,1,0,0
2014-04-20,2,102,16,20,6,154,27,17,2,12,6,0,0,0,2,0,0,0,0,0
2014-04-27,4,97,15,11,9,207,36,18,3,3,1,0,0,0,2,0,0,1,0,0
2014-05-04,5,91,22,16,7,149,29,26,0,6,0,0,0,1,1,0,0,0,0,0
2014-05-11,5,87,10,37,3,187,15,16,5,9,10,0,1,0,1,0,0,6,0,0
2014-05-18,5,99,21,15,7,141,10,21,3,9,2,0,0,1,2,0,0,0,0,0
2014-05-25,8,102,15,18,7,155,21,17,2,5,4,0,0,0,4,0,0,1,0,0
2014-06-01,5,93,15,24,3,155,22,17,2,8,2,0,0,0,3,0,1,1,0,0
2014-06-08,7,73,15,25,10,210,16,14,8,10,4,0,0,3,4,0,0,1,0,0
2014-06-15,7,100,18,12,9,141,35,17,1,8,3,0,0,1,2,0,0,0,0,0
2014-06-22,8,110,10,18,4,220,40,17,0,8,3,0,0,1,1,0,0,1,0,0
2014-06-29,10,110,16,25,2,124,20,13,4,9,1,0,0,0,6,0,0,0,0,0
2014-07-06,7,133,22,18,9,184,18,17,4,12,2,0,0,0,3,0,1,1,0,0
2014-07-13,7,115,17,34,7,226,23,21,2,10,3,0,1,2,3,0,0,0,0,0
2014-07-20,6,88,15,14,7,157,32,14,5,5,5,0,0,0,1,0,0,1,0,0
2014-07-27,10,100,17,34,10,88,14,16,4,13,1,0,0,1,0,0,0,0,0,0
2014-08-03,9,92,29,19,6,176,42,14,3,6,5,2,0,0,0,0,0,1,0,0
2014-08-10,9,84,20,26,12,168,29,19,2,7,7,0,0,1,1,0,0,0,0,0
2014-08-17,5,76,26,30,5,110,31,14,1,6,3,0,0,1,2,0,0,1,0,0
2014-08-24,5,98,27,28,6,123,36,16,1,7,4,0,0,0,1,0,1,0,0,0
2014-08-31,9,90,20,16,6,187,22,11,0,8,1,0,0,4,1,0,0,1,0,0
2014-09-07,7,94,20,39,6,190,20,16,0,10,1,0,0,4,1,0,0,0,0,0
2014-09-14,5,102,19,26,3,125,31,12,0,3,4,0,0,1,1,0,0,0,0,0
2014-09-21,6,96,21,16,9,113,26,14,2,11,2,0,0,1,1,0,0,1,0,0
2014-09-28,4,79,24,32,8,92,25,15,1,3,1,0,0,0,4,0,0,2,0,0
2014-10-05,9,96,16,18,5,152,41,15,2,13,4,0,0,1,0,0,0,0,0,0
2014-10-12,9,95,24,30,7,108,36,13,2,11,5,0,0,0,0,0,0,1,0,0
2014-10-19,7,97,37,12,6,159,28,17,0,5,3,0,0,2,0,0,0,0,0,0
2014-10-26,10,97,27,25,10,125,53,26,2,5,0,0,0,2,0,0,0,1,0,0
2014-11-02,12,107,24,25,6,223,43,15,0,5,3,0,10,1,1,0,0,0,0,0
2014-11-09,10,93,27,32,8,133,27,14,2,5,2,0,13,0,0,0,0,1,0,0
2014-11-16,10,124,40,30,7,148,13,15,3,7,4,0,11,1,0,0,0,0,0,0
2014-11-23,7,110,20,36,12,141,20,11,0,9,1,0,13,1,0,0,0,0,0,0
2014-11-30,8,88,21,18,9,85,28,14,0,5,1,0,10,3,0,0,0,0,0,0
2014-12-07,12,120,31,31,6,150,24,9,2,6,5,0,11,1,0,0,0,0,0,0
2014-12-14,15,92,24,18,8,104,30,12,0,9,3,0,8,1,0,0,0,0,0,0
2014-12-21,15,93,32,37,8,133,28,8,0,8,3,0,9,1,0,0,0,0,0,0
2014-12-28,27,114,23,18,11,112,19,10,2,5,1,0,10,1,1,0,0,0,0,0
2015-01-04,2,109,28,20,7,131,18,14,0,5,4,0,13,6,1,0,0,0,0,0
2015-01-11,3,122,19,33,8,162,20,11,2,12,1,0,12,2,2,0,0,0,0,0
2015-01-18,10,115,21,32,6,126,52,16,0,5,3,0,17,0,0,0,0,0,0,0
2015-01-25,1,113,24,20,7,158,38,11,6,6,0,0,14,1,2,0,0,0,0,0
2015-02-01,5,115,34,19,6,153,39,9,0,12,2,0,11,1,4,0,0,0,0,0
2015-02-08,4,99,18,19,7,174,28,18,0,6,2,0,9,1,2,0,0,0,0,0
2015-02-15,8,101,24,24,5,150,39,12,2,9,4,0,13,3,2,0,1,0,0,0
2015-02-22,3,131,28,31,6,128,26,21,1,9,6,12,16,1,6,0,0,0,0,0
2015-03-01,3,93,26,31,14,184,28,13,1,7,10,28,19,5,1,0,14,16,0,0
2015-03-08,2,114,23,27,4,175,12,13,0,8,3,34,20,0,2,0,27,34,5,0
2015-03-15,3,124,17,27,5,143,21,12,0,4,4,32,24,5,1,0,24,34,6,0
2015-03-22,3,104,36,12,3,133,26,14,0,9,9,40,17,0,0,0,35,36,6,0
2015-03-29,2,92,30,19,10,130,45,7,3,3,9,39,14,2,4,0,27,26,10,0
2015-04-05,6,118,29,20,7,125,27,15,0,7,4,49,26,1,2,0,18,38,6,0
2015-04-12,1,129,35,21,4,212,21,8,2,6,3,25,15,0,3,0,30,34,4,0
2015-04-19,2,112,38,22,5,160,38,17,3,9,6,31,13,0,4,0,23,24,11,0
2015-04-26,0,119,28,21,5,179,38,12,0,5,3,25,3,1,2,0,35,28,4,0
2015-05-03,3,110,31,20,2,203,21,20,1,5,6,28,5,0,2,6,21,34,11,0
2015-05-10,6,111,21,21,4,149,37,11,2,13,3,27,11,0,4,6,30,38,4,0
2015-05-17,6,102,18,22,11,162,18,16,5,8,2,30,9,3,4,3,16,41,6,0
2015-05-24,6,109,25,13,5,153,13,14,1,7,5,22,5,0,4,13,21,40,11,0
2015-05-31,4,114,31,16,7,176,24,24,4,8,2,28,8,3,2,7,22,28,8,0
2015-06-07,7,94,33,22,4,220,28,19,5,7,8,29,4,0,3,6,35,43,6,0
2015-06-14,5,85,28,18,6,164,32,18,1,14,2,42,6,5,7,10,17,27,7,0
2015-06-21,10,88,23,17,9,170,32,9,8,6,6,48,14,0,4,10,28,44,4,0
2015-06-28,6,118,37,12,9,106,30,21,2,4,5,47,7,1,5,14,25,41,11,0
2015-07-05,8,73,36,11,2,190,24,14,0,6,4,54,16,3,3,10,25,37,7,0
2015-07-12,9,107,37,18,6,207,34,15,7,6,4,41,12,1,5,9,20,32,8,0
2015-07-19,4,107,34,19,4,119,30,20,4,10,11,36,19,1,3,7,23,40,5,0
2015-07-26,7,88,38,10,8,221,33,17,4,3,2,41,6,2,7,17,19,37,13,0
2015-08-02,11,69,34,26,6,113,17,15,7,15,5,53,11,2,4,9,26,39,12,0
2015-08-09,9,95,46,18,6,222,33,12,3,2,1,41,7,4,2,10,28,39,12,0
2015-08-16,9,72,42,18,9,167,27,15,5,7,1,48,16,0,8,11,17,42,9,0
2015-08-23,8,74,54,9,5,208,25,16,4,4,1,41,20,1,2,14,34,33,14,0
2015-08-30,12,85,40,19,4,146,42,15,7,7,5,36,10,1,2,10,20,23,4,0
2015-09-06,3,102,40,8,3,204,30,16,3,6,5,38,13,3,3,10,18,29,12,0
2015-09-13,5,78,55,14,6,212,20,16,2,8,0,38,10,0,3,7,22,30,11,0
2015-09-20,10,79,49,15,8,214,29,18,7,7,2,32,15,1,2,13,24,27,8,0
2015-09-27,2,62,41,8,10,124,19,16,4,3,6,28,14,2,6,8,18,22,21,0
2015-10-04,9,73,48,9,11,199,30,16,3,5,1,37,10,0,3,12,32,23,10,0
2015-10-11,10,63,57,13,6,137,28,18,2,4,3,32,10,3,6,14,29,42,16,0
2015-10-18,5,90,49,14,4,178,30,22,4,9,3,21,12,1,5,12,25,40,12,0
2015-10-25,7,79,44,7,7,198,42,14,4,5,0,27,19,2,6,7,25,21,6,0
2015-11-01,3,80,43,19,6,220,38,17,2,3,8,19,14,1,2,15,24,30,6,0
2015-11-08,7,79,55,5,10,201,48,9,6,5,5,22,17,0,5,8,33,21,6,0
2015-11-15,2,75,42,22,7,205,29,13,2,11,1,26,16,0,7,8,31,25,4,0
2015-11-22,7,91,40,29,6,223,28,17,1,5,2,14,10,0,5,17,32,36,8,0
2015-11-29,3,79,43,6,8,200,53,13,5,4,5,21,13,1,6,13,26,24,3,0
2015-12-06,9,83,46,30,2,231,39,16,1,7,1,17,20,0,4,6,24,34,10,0
2015-12-13,12,67,35,15,9,247,19,7,4,3,3,20,15,2,13,9,26,26,16,0
2015-12-20,11,85,52,15,13,199,27,12,1,5,7,9,15,2,14,17,31,30,12,0
2015-12-27,17,74,49,19,6,189,27,7,0,3,5,6,11,2,10,17,23,30,12,0
2016-01-03,3,97,42,15,6,192,40,7,2,5,4,12,13,1,7,11,27,22,7,0
2016-01-10,5,95,34,5,13,260,28,11,5,7,3,15,13,3,3,12,25,33,11,0
2016-01-17,4,85,49,22,7,245,20,12,1,7,1,7,12,1,6,14,29,25,13,0
2016-01-24,2,99,41,23,3,247,33,12,2,2,4,15,15,0,2,16,31,28,2,0
2016-01-31,4,96,53,11,8,221,24,12,0,11,3,22,6,1,5,15,31,37,13,0
2016-02-07,2,85,39,13,10,304,38,9,2,7,1,22,17,0,7,14,27,21,9,0
2016-02-14,2,88,41,22,6,232,22,10,9,8,3,28,12,1,3,20,29,29,11,0
2016-02-21,3,81,51,23,9,159,30,10,5,7,2,11,13,1,6,15,17,29,7,0
2016-02-28,3,81,44,26,12,176,34,9,3,10,2,25,17,0,16,12,26,26,10,0
2016-03-06,6,72,45,22,9,73,30,4,2,12,8,15,18,1,4,19,30,21,12,0
2016-03-13,5,70,65,24,9,200,12,8,3,9,1,22,11,1,2,21,27,30,13,4
2016-03-20,0,69,54,17,10,163,6,10,8,5,1,23,13,4,10,7,25,32,12,0
2016-03-27,5,88,51,31,5,46,0,5,5,4,2,36,11,1,6,5,19,27,19,0
2016-04-03,2,79,49,19,6,212,40,16,0,11,1,39,19,1,4,14,33,31,11,2
2016-04-10,1,93,41,18,9,157,26,16,1,9,3,43,11,5,4,16,26,29,15,6
2016-04-17,1,78,29,21,10,124,37,13,3,6,6,38,17,1,6,10,25,26,14,6
2016-04-24,9,79,32,19,11,182,33,19,0,9,2,43,18,1,5,5,22,36,13,6
2016-05-01,1,99,31,27,9,180,46,19,1,10,3,62,8,1,3,11,31,45,13,3
2016-05-08,1,70,52,19,9,167,25,16,2,8,4,39,14,4,4,13,27,41,10,3
2016-05-15,5,66,33,28,7,185,35,13,2,4,1,26,13,1,9,9,27,35,13,4
2016-05-22,6,58,34,25,6,211,41,20,6,7,5,41,14,0,4,10,25,40,6,7
