,avgPriceChoice,UPC,PRICE,PRICE_p2,FEATURE,DISPLAY,TPR_ONLY,RELPRICE
0,2.5,1111085319,1.5,2.25,1,1,1,0.6
1,2.5,1111085319,2.0,4.0,1,1,1,0.8
2,2.5,1111085319,2.5,6.25,1,1,1,1.0
3,2.5,1111085319,3.0,9.0,1,1,1,1.2
4,2.5,1111085319,3.5,12.25,1,1,1,1.4
5,2.5,1111085319,4.0,16.0,1,1,1,1.6
6,2.5,1111085319,4.5,20.25,1,1,1,1.8
7,2.5,1111085319,5.0,25.0,1,1,1,2.0
8,3.0,1111085319,1.5,2.25,1,1,1,0.5
9,3.0,1111085319,2.0,4.0,1,1,1,0.6666666666666666
10,3.0,1111085319,2.5,6.25,1,1,1,0.8333333333333334
11,3.0,1111085319,3.0,9.0,1,1,1,1.0
12,3.0,1111085319,3.5,12.25,1,1,1,1.1666666666666667
13,3.0,1111085319,4.0,16.0,1,1,1,1.3333333333333333
14,3.0,1111085319,4.5,20.25,1,1,1,1.5
15,3.0,1111085319,5.0,25.0,1,1,1,1.6666666666666667
16,3.25,1111085319,1.5,2.25,1,1,1,0.46153846153846156
17,3.25,1111085319,2.0,4.0,1,1,1,0.6153846153846154
18,3.25,1111085319,2.5,6.25,1,1,1,0.7692307692307693
19,3.25,1111085319,3.0,9.0,1,1,1,0.9230769230769231
20,3.25,1111085319,3.5,12.25,1,1,1,1.0769230769230769
21,3.25,1111085319,4.0,16.0,1,1,1,1.2307692307692308
22,3.25,1111085319,4.5,20.25,1,1,1,1.3846153846153846
23,3.25,1111085319,5.0,25.0,1,1,1,1.5384615384615385
24,3.5,1111085319,1.5,2.25,1,1,1,0.42857142857142855
25,3.5,1111085319,2.0,4.0,1,1,1,0.5714285714285714
26,3.5,1111085319,2.5,6.25,1,1,1,0.7142857142857143
27,3.5,1111085319,3.0,9.0,1,1,1,0.8571428571428571
28,3.5,1111085319,3.5,12.25,1,1,1,1.0
29,3.5,1111085319,4.0,16.0,1,1,1,1.1428571428571428
30,3.5,1111085319,4.5,20.25,1,1,1,1.2857142857142858
31,3.5,1111085319,5.0,25.0,1,1,1,1.4285714285714286
32,2.5,1111085350,1.5,2.25,1,1,1,0.6
33,2.5,1111085350,2.0,4.0,1,1,1,0.8
34,2.5,1111085350,2.5,6.25,1,1,1,1.0
35,2.5,1111085350,3.0,9.0,1,1,1,1.2
36,2.5,1111085350,3.5,12.25,1,1,1,1.4
37,2.5,1111085350,4.0,16.0,1,1,1,1.6
38,2.5,1111085350,4.5,20.25,1,1,1,1.8
39,2.5,1111085350,5.0,25.0,1,1,1,2.0
40,3.0,1111085350,1.5,2.25,1,1,1,0.5
41,3.0,1111085350,2.0,4.0,1,1,1,0.6666666666666666
42,3.0,1111085350,2.5,6.25,1,1,1,0.8333333333333334
43,3.0,1111085350,3.0,9.0,1,1,1,1.0
44,3.0,1111085350,3.5,12.25,1,1,1,1.1666666666666667
45,3.0,1111085350,4.0,16.0,1,1,1,1.3333333333333333
46,3.0,1111085350,4.5,20.25,1,1,1,1.5
47,3.0,1111085350,5.0,25.0,1,1,1,1.6666666666666667
48,3.25,1111085350,1.5,2.25,1,1,1,0.46153846153846156
49,3.25,1111085350,2.0,4.0,1,1,1,0.6153846153846154
50,3.25,1111085350,2.5,6.25,1,1,1,0.7692307692307693
51,3.25,1111085350,3.0,9.0,1,1,1,0.9230769230769231
52,3.25,1111085350,3.5,12.25,1,1,1,1.0769230769230769
53,3.25,1111085350,4.0,16.0,1,1,1,1.2307692307692308
54,3.25,1111085350,4.5,20.25,1,1,1,1.3846153846153846
55,3.25,1111085350,5.0,25.0,1,1,1,1.5384615384615385
56,3.5,1111085350,1.5,2.25,1,1,1,0.42857142857142855
57,3.5,1111085350,2.0,4.0,1,1,1,0.5714285714285714
58,3.5,1111085350,2.5,6.25,1,1,1,0.7142857142857143
59,3.5,1111085350,3.0,9.0,1,1,1,0.8571428571428571
60,3.5,1111085350,3.5,12.25,1,1,1,1.0
61,3.5,1111085350,4.0,16.0,1,1,1,1.1428571428571428
62,3.5,1111085350,4.5,20.25,1,1,1,1.2857142857142858
63,3.5,1111085350,5.0,25.0,1,1,1,1.4285714285714286
64,2.5,1600027527,1.5,2.25,1,1,1,0.6
65,2.5,1600027527,2.0,4.0,1,1,1,0.8
66,2.5,1600027527,2.5,6.25,1,1,1,1.0
67,2.5,1600027527,3.0,9.0,1,1,1,1.2
68,2.5,1600027527,3.5,12.25,1,1,1,1.4
69,2.5,1600027527,4.0,16.0,1,1,1,1.6
70,2.5,1600027527,4.5,20.25,1,1,1,1.8
71,2.5,1600027527,5.0,25.0,1,1,1,2.0
72,3.0,1600027527,1.5,2.25,1,1,1,0.5
73,3.0,1600027527,2.0,4.0,1,1,1,0.6666666666666666
74,3.0,1600027527,2.5,6.25,1,1,1,0.8333333333333334
75,3.0,1600027527,3.0,9.0,1,1,1,1.0
76,3.0,1600027527,3.5,12.25,1,1,1,1.1666666666666667
77,3.0,1600027527,4.0,16.0,1,1,1,1.3333333333333333
78,3.0,1600027527,4.5,20.25,1,1,1,1.5
79,3.0,1600027527,5.0,25.0,1,1,1,1.6666666666666667
80,3.25,1600027527,1.5,2.25,1,1,1,0.46153846153846156
81,3.25,1600027527,2.0,4.0,1,1,1,0.6153846153846154
82,3.25,1600027527,2.5,6.25,1,1,1,0.7692307692307693
83,3.25,1600027527,3.0,9.0,1,1,1,0.9230769230769231
84,3.25,1600027527,3.5,12.25,1,1,1,1.0769230769230769
85,3.25,1600027527,4.0,16.0,1,1,1,1.2307692307692308
86,3.25,1600027527,4.5,20.25,1,1,1,1.3846153846153846
87,3.25,1600027527,5.0,25.0,1,1,1,1.5384615384615385
88,3.5,1600027527,1.5,2.25,1,1,1,0.42857142857142855
89,3.5,1600027527,2.0,4.0,1,1,1,0.5714285714285714
90,3.5,1600027527,2.5,6.25,1,1,1,0.7142857142857143
91,3.5,1600027527,3.0,9.0,1,1,1,0.8571428571428571
92,3.5,1600027527,3.5,12.25,1,1,1,1.0
93,3.5,1600027527,4.0,16.0,1,1,1,1.1428571428571428
94,3.5,1600027527,4.5,20.25,1,1,1,1.2857142857142858
95,3.5,1600027527,5.0,25.0,1,1,1,1.4285714285714286
96,2.5,1600027528,1.5,2.25,1,1,1,0.6
97,2.5,1600027528,2.0,4.0,1,1,1,0.8
98,2.5,1600027528,2.5,6.25,1,1,1,1.0
99,2.5,1600027528,3.0,9.0,1,1,1,1.2
100,2.5,1600027528,3.5,12.25,1,1,1,1.4
101,2.5,1600027528,4.0,16.0,1,1,1,1.6
102,2.5,1600027528,4.5,20.25,1,1,1,1.8
103,2.5,1600027528,5.0,25.0,1,1,1,2.0
104,3.0,1600027528,1.5,2.25,1,1,1,0.5
105,3.0,1600027528,2.0,4.0,1,1,1,0.6666666666666666
106,3.0,1600027528,2.5,6.25,1,1,1,0.8333333333333334
107,3.0,1600027528,3.0,9.0,1,1,1,1.0
108,3.0,1600027528,3.5,12.25,1,1,1,1.1666666666666667
109,3.0,1600027528,4.0,16.0,1,1,1,1.3333333333333333
110,3.0,1600027528,4.5,20.25,1,1,1,1.5
111,3.0,1600027528,5.0,25.0,1,1,1,1.6666666666666667
112,3.25,1600027528,1.5,2.25,1,1,1,0.46153846153846156
113,3.25,1600027528,2.0,4.0,1,1,1,0.6153846153846154
114,3.25,1600027528,2.5,6.25,1,1,1,0.7692307692307693
115,3.25,1600027528,3.0,9.0,1,1,1,0.9230769230769231
116,3.25,1600027528,3.5,12.25,1,1,1,1.0769230769230769
117,3.25,1600027528,4.0,16.0,1,1,1,1.2307692307692308
118,3.25,1600027528,4.5,20.25,1,1,1,1.3846153846153846
119,3.25,1600027528,5.0,25.0,1,1,1,1.5384615384615385
120,3.5,1600027528,1.5,2.25,1,1,1,0.42857142857142855
121,3.5,1600027528,2.0,4.0,1,1,1,0.5714285714285714
122,3.5,1600027528,2.5,6.25,1,1,1,0.7142857142857143
123,3.5,1600027528,3.0,9.0,1,1,1,0.8571428571428571
124,3.5,1600027528,3.5,12.25,1,1,1,1.0
125,3.5,1600027528,4.0,16.0,1,1,1,1.1428571428571428
126,3.5,1600027528,4.5,20.25,1,1,1,1.2857142857142858
127,3.5,1600027528,5.0,25.0,1,1,1,1.4285714285714286
128,2.5,1600027564,1.5,2.25,1,1,1,0.6
129,2.5,1600027564,2.0,4.0,1,1,1,0.8
130,2.5,1600027564,2.5,6.25,1,1,1,1.0
131,2.5,1600027564,3.0,9.0,1,1,1,1.2
132,2.5,1600027564,3.5,12.25,1,1,1,1.4
133,2.5,1600027564,4.0,16.0,1,1,1,1.6
134,2.5,1600027564,4.5,20.25,1,1,1,1.8
135,2.5,1600027564,5.0,25.0,1,1,1,2.0
136,3.0,1600027564,1.5,2.25,1,1,1,0.5
137,3.0,1600027564,2.0,4.0,1,1,1,0.6666666666666666
138,3.0,1600027564,2.5,6.25,1,1,1,0.8333333333333334
139,3.0,1600027564,3.0,9.0,1,1,1,1.0
140,3.0,1600027564,3.5,12.25,1,1,1,1.1666666666666667
141,3.0,1600027564,4.0,16.0,1,1,1,1.3333333333333333
142,3.0,1600027564,4.5,20.25,1,1,1,1.5
143,3.0,1600027564,5.0,25.0,1,1,1,1.6666666666666667
144,3.25,1600027564,1.5,2.25,1,1,1,0.46153846153846156
145,3.25,1600027564,2.0,4.0,1,1,1,0.6153846153846154
146,3.25,1600027564,2.5,6.25,1,1,1,0.7692307692307693
147,3.25,1600027564,3.0,9.0,1,1,1,0.9230769230769231
148,3.25,1600027564,3.5,12.25,1,1,1,1.0769230769230769
149,3.25,1600027564,4.0,16.0,1,1,1,1.2307692307692308
150,3.25,1600027564,4.5,20.25,1,1,1,1.3846153846153846
151,3.25,1600027564,5.0,25.0,1,1,1,1.5384615384615385
152,3.5,1600027564,1.5,2.25,1,1,1,0.42857142857142855
153,3.5,1600027564,2.0,4.0,1,1,1,0.5714285714285714
154,3.5,1600027564,2.5,6.25,1,1,1,0.7142857142857143
155,3.5,1600027564,3.0,9.0,1,1,1,0.8571428571428571
156,3.5,1600027564,3.5,12.25,1,1,1,1.0
157,3.5,1600027564,4.0,16.0,1,1,1,1.1428571428571428
158,3.5,1600027564,4.5,20.25,1,1,1,1.2857142857142858
159,3.5,1600027564,5.0,25.0,1,1,1,1.4285714285714286
160,2.5,3000006340,1.5,2.25,1,1,1,0.6
161,2.5,3000006340,2.0,4.0,1,1,1,0.8
162,2.5,3000006340,2.5,6.25,1,1,1,1.0
163,2.5,3000006340,3.0,9.0,1,1,1,1.2
164,2.5,3000006340,3.5,12.25,1,1,1,1.4
165,2.5,3000006340,4.0,16.0,1,1,1,1.6
166,2.5,3000006340,4.5,20.25,1,1,1,1.8
167,2.5,3000006340,5.0,25.0,1,1,1,2.0
168,3.0,3000006340,1.5,2.25,1,1,1,0.5
169,3.0,3000006340,2.0,4.0,1,1,1,0.6666666666666666
170,3.0,3000006340,2.5,6.25,1,1,1,0.8333333333333334
171,3.0,3000006340,3.0,9.0,1,1,1,1.0
172,3.0,3000006340,3.5,12.25,1,1,1,1.1666666666666667
173,3.0,3000006340,4.0,16.0,1,1,1,1.3333333333333333
174,3.0,3000006340,4.5,20.25,1,1,1,1.5
175,3.0,3000006340,5.0,25.0,1,1,1,1.6666666666666667
176,3.25,3000006340,1.5,2.25,1,1,1,0.46153846153846156
177,3.25,3000006340,2.0,4.0,1,1,1,0.6153846153846154
178,3.25,3000006340,2.5,6.25,1,1,1,0.7692307692307693
179,3.25,3000006340,3.0,9.0,1,1,1,0.9230769230769231
180,3.25,3000006340,3.5,12.25,1,1,1,1.0769230769230769
181,3.25,3000006340,4.0,16.0,1,1,1,1.2307692307692308
182,3.25,3000006340,4.5,20.25,1,1,1,1.3846153846153846
183,3.25,3000006340,5.0,25.0,1,1,1,1.5384615384615385
184,3.5,3000006340,1.5,2.25,1,1,1,0.42857142857142855
185,3.5,3000006340,2.0,4.0,1,1,1,0.5714285714285714
186,3.5,3000006340,2.5,6.25,1,1,1,0.7142857142857143
187,3.5,3000006340,3.0,9.0,1,1,1,0.8571428571428571
188,3.5,3000006340,3.5,12.25,1,1,1,1.0
189,3.5,3000006340,4.0,16.0,1,1,1,1.1428571428571428
190,3.5,3000006340,4.5,20.25,1,1,1,1.2857142857142858
191,3.5,3000006340,5.0,25.0,1,1,1,1.4285714285714286
192,2.5,3800031829,1.5,2.25,1,1,1,0.6
193,2.5,3800031829,2.0,4.0,1,1,1,0.8
194,2.5,3800031829,2.5,6.25,1,1,1,1.0
195,2.5,3800031829,3.0,9.0,1,1,1,1.2
196,2.5,3800031829,3.5,12.25,1,1,1,1.4
197,2.5,3800031829,4.0,16.0,1,1,1,1.6
198,2.5,3800031829,4.5,20.25,1,1,1,1.8
199,2.5,3800031829,5.0,25.0,1,1,1,2.0
200,3.0,3800031829,1.5,2.25,1,1,1,0.5
201,3.0,3800031829,2.0,4.0,1,1,1,0.6666666666666666
202,3.0,3800031829,2.5,6.25,1,1,1,0.8333333333333334
203,3.0,3800031829,3.0,9.0,1,1,1,1.0
204,3.0,3800031829,3.5,12.25,1,1,1,1.1666666666666667
205,3.0,3800031829,4.0,16.0,1,1,1,1.3333333333333333
206,3.0,3800031829,4.5,20.25,1,1,1,1.5
207,3.0,3800031829,5.0,25.0,1,1,1,1.6666666666666667
208,3.25,3800031829,1.5,2.25,1,1,1,0.46153846153846156
209,3.25,3800031829,2.0,4.0,1,1,1,0.6153846153846154
210,3.25,3800031829,2.5,6.25,1,1,1,0.7692307692307693
211,3.25,3800031829,3.0,9.0,1,1,1,0.9230769230769231
212,3.25,3800031829,3.5,12.25,1,1,1,1.0769230769230769
213,3.25,3800031829,4.0,16.0,1,1,1,1.2307692307692308
214,3.25,3800031829,4.5,20.25,1,1,1,1.3846153846153846
215,3.25,3800031829,5.0,25.0,1,1,1,1.5384615384615385
216,3.5,3800031829,1.5,2.25,1,1,1,0.42857142857142855
217,3.5,3800031829,2.0,4.0,1,1,1,0.5714285714285714
218,3.5,3800031829,2.5,6.25,1,1,1,0.7142857142857143
219,3.5,3800031829,3.0,9.0,1,1,1,0.8571428571428571
220,3.5,3800031829,3.5,12.25,1,1,1,1.0
221,3.5,3800031829,4.0,16.0,1,1,1,1.1428571428571428
222,3.5,3800031829,4.5,20.25,1,1,1,1.2857142857142858
223,3.5,3800031829,5.0,25.0,1,1,1,1.4285714285714286
